name,address1,city,state,code,country,website,descript
Cape Ann Brewing,27 Commercial Street,Gloucester,Massachusetts,1930,United States,,
Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin,53562,United States,http://www.capital-brewery.com/,
Capital City Brewing Company,"1100 New York Ave, NW",Washington,District of Columbia,20005,United States,http://www.capcitybrew.com,"Washington DC's first brewpub since prohibition, Capitol City Brewing Co. opened its doors in 1992. Our first location still stands in Downtown DC, at 11th and H St., NW. Our company policy is to bring the fine craft of brewing to every person who lives and visits our region, as well as treating them to a wonderful meal and a great experience."
Capitol City Brewing #4,2700 South Quincy Street,Arlington,Virginia,22206,United States,,
Captain Lawrence Brewing Company,99 Castleton Street,Pleasantville,New York,10570,United States,http://www.captainlawrencebrewing.com/,"Captain Lawrence beers are craft brewed in Pleasantville New York. We offer tastings and tours on Fridays from 4pm to 7pm, and Saturdays from 12pm  6pm."
Carlow Brewing Company,"The Goods Store, Station Road",Carlow,,,Ireland,http://www.carlowbrewing.com,"Carlow Brewing Company is a small Irish Brewery established in 1998.  Carlow, a small town located in the Barrow Valley Region, the traditional malt and hop producing region in Ireland, once boasted a number of breweries, but the practice had been discontinued for over 100 years until revived in 1998 by Carlow Brewing Company.  "
Carlsberg Bryggerierne,Vesterflledvej 100,Kbenhavn,,,Denmark,,
Carlsberg Sverige AB,rstadvgen,Falkenberg,,,Sweden,,
Carlton and United Breweries,77 Southbank Boulevard,Melbourne,Victoria,,Australia,,
Carlyle Brewing,215 East State Street,Rockford,Illinois,61104,United States,,
Carmel Brewing,,Salinas,California,,United States,,
Carolina Beer Company,110 Barley Park Lane,Mooresville,North Carolina,28115,United States,http://www.carolinabeer.com/,
Carolina Brewery,460 West Franklin Street,Chapel Hill,North Carolina,27516,United States,,
Carver Brewing Co.,1022 Main Ave.,Durango,Colorado,81301,United States,http://www.carverbrewing.com/_/home.htm,"Carver Brothers Bakery first opened on June 1, 1983, in Winter Park, Colorado. It started with Jim, Bill, Sara and Eleanor Carver. In 1986 Jim, Bill and Barb Wynne opened Carvers Bakery / Caf̩ in Durango and the Winter Park Bakery was sold.   In 1988 Carvers opened the brewery  making it the first brewery in the four corners region since prohibition. Although still known affectionately by the locals as Carvers, Carvers then became Carver Brewing Company.  Since then Carvers has seen many exciting changes: opening it's outdoor Beer Garden in 1994 and undergoing dramatic remodels in the restaurant and on the patio in '98 and '02. In April of '07 it was deemed necessary to expand the brewery.  The brewery is now housed in the area previously occupied by the bakery.  After 20 years of serving Colorado's mountain folk, Carvers continues to provide the very best in food and beer."
Castle Springs Brewery,,Moultonborough,New Hampshire,,United States,,
Cat's Paw Home Brew,,,,,United States,,
Catamount Brewing,,White River Junction,Vermont,,United States,,
Cedar Brewing,,Cedar Rapids,Iowa,,United States,,
Celis Brewery,,Austin,Texas,,United States,,
Central City Brewing Company,13450 - 102 Avenue,Surrey,British Columbia,,Canada,http://www.centralcitybrewing.com/,
Central Waters Brewing Company,351 Allen Street,Amherst,Wisconsin,54406,United States,http://www.centralwaters.com/,"Brewing since 1998, Central Waters Brewing Company is built on the solid reputation of producing the finest quality beer in Central Wisconsin: Ouisconsing Red Ale, Happy Heron Pale Ale, Mudpuppy Porter, and many more."
